file,time_diff,total_word,c_w_p_m
student_639_passage_23007_554270627d02f,0.6123333333333334,10,16.33097441480675
student_367_passage_31102_56ddd52a67da3,0.23099999999999998,20,86.58008658008659
student_801_passage_43057_56e83569b3197,0.6743333333333333,66,97.87444389520515
student_595_passage_33029_56ddb0cc2a50d,0.5371666666666667,37,68.87992553521563
student_265_passage_42050_5548fc7ad256d,0.35850000000000004,44,122.73361227336122
student_257_passage_41020_5547be771b41b,0.12200000000000001,13,106.55737704918032
student_545_passage_21068_55429b0f57a7f,0.2768333333333333,15,54.184226369656834
student_369_passage_43046_553e7e50c3462,0.492,66,134.14634146341464
student_653_passage_23002_55426887924ec,1.3524999999999998,71,52.49537892791128
student_345_passage_42009_553e7d97b0182,0.5456666666666666,64,117.28772144166159
student_934_passage_31049_55522f8949899,0.2675,27,100.93457943925233
student_804_passage_32026_553faf1489bc4,0.007833333333333343,1,127.65957446808494
student_822_passage_31048_5540fb73b3b36,0.16833333333333333,17,100.99009900990099
student_870_passage_31048_55523d4430b64,0.27099999999999996,13,47.97047970479706
student_734_passage_32018_5547a52a4b8ba,0.3778333333333333,44,116.4534627260697
student_205_passage_43010_5547c10dbb0b8,0.7045,79,112.13626685592618
student_139_passage_41111_553e6770877b9,0.11900000000000001,10,84.03361344537815
student_169_passage_43001_553e609c24baf,0.5760000000000001,22,38.19444444444444
student_125_passage_43047_553e66eeb400e,0.8583333333333333,70,81.55339805825243
student_710_passage_33012_553fc73a11cc7,0.9125,63,69.04109589041096
student_423_passage_23027_55428c77206b5,0.5935,23,38.753159224936816
student_287_passage_41080_5547b7011d24d,0.15616666666666668,17,108.85805763073638
student_161_passage_42014_553e5956ec224,0.3105,33,106.28019323671498
student_463_passage_31116_56ddd235e1c18,0.18849999999999997,11,58.3554376657825
student_379_passage_32041_56e1d072d2e10,0.48600000000000004,33,67.90123456790123
student_255_passage_41120_5547bed686cee,0.18550000000000003,21,113.2075471698113
student_49_passage_42014_554915bb461b4,0.30499999999999994,38,124.59016393442626
student_1055_passage_24000_56dda78d98aa9,0.019333333333333334,3,155.17241379310343
student_947_passage_41185_56e83616475aa,0.19283333333333333,16,82.97320656871219
student_377_passage_41155_553e82919e02a,0.06849999999999999,4,58.39416058394161
student_802_passage_31046_553fb6e76333d,0.30400000000000005,25,82.23684210526315
student_980_passage_31049_553fee6fd3e97,0.3950000000000001,26,65.82278481012656
student_229_passage_41157_5547c2316c0bb,0.137,17,124.08759124087591
student_37_passage_41162_553a621a8f485,0.8225,3,3.6474164133738602
student_633_passage_31076_56ddd1dc3b4f3,0.238,16,67.22689075630252
student_589_passage_23002_553a6503281dc,1.5775000000000001,64,40.57052297939778
